1;usr1;name1;surname1;email1@hotmail.com;;121212;4444444;0
2;usr2;name2;surname2;email2@hotmail.com;;121212;4444444;1
3;usr3;name3;surname3;email3@hotmail.com;;121212;4444444;0
4;usr4;name4;surname4;email4@hotmail.com;;121212;4444444;1
5;usr5;name5;surname5;email5@hotmail.com;;121212;4444444;1
6;usr6;name6;surname6;email6@hotmail.com;;121212;4444444;1
7;usr7;name7;surname7;email7@hotmail.com;;121212;4444444;1
8;usr8;name8;surname8;email8@hotmail.com;;121212;4444444;1
9;usr9;name9;surname9;email9@hotmail.com;;121212;4444444;1
10;usr10;name10;surname10;email10@hotmail.com;;121212;4444444;1
11;usr11;name11;surname11;email11@hotmail.com;;121212;4444444;1
12;usr12;name12;surname12;email12@hotmail.com;;121212;4444444;1
13;usr13;name13;surname13;email13@hotmail.com;;121212;4444444;1
14;usr14;name14;surname14;email14@hotmail.com;;121212;4444444;1
15;usr15;name15;surname15;email15@hotmail.com;;121212;4444444;1
16;usr16;name16;surname16;email16@hotmail.com;;121212;4444444;1
17;usr17;name17;surname17;email17@hotmail.com;;121212;4444444;1
18;usr18;name18;surname18;email18@hotmail.com;;121212;4444444;1
19;usr19;name19;surname19;email19@hotmail.com;;121212;4444444;1
20;usr20;name20;surname20;email20@hotmail.com;;121212;4444444;0
21;usr21;name21;surname21;email21@hotmail.com;;121212;4444444;0
22;usr22;name22;surname22;email22@hotmail.com;;121212;4444444;0
23;usr23;name23;surname23;email23@hotmail.com;;121212;4444444;0
24;usr24;name24;surname24;email24@hotmail.com;;121212;4444444;0
25;usr25;name25;surname25;email25@hotmail.com;;121212;4444444;0
26;usr26;name26;surname26;email26@hotmail.com;;121212;4444444;0
27;usr27;name27;surname27;email27@hotmail.com;;121212;4444444;0
28;usr28;name28;surname28;email28@hotmail.com;;121212;4444444;0
29;usr29;name29;surname29;email29@hotmail.com;;121212;4444444;1
30;usr30;name30;surname30;email30@hotmail.com;;121212;4444444;1
31;usr31;name31;surname31;email31@hotmail.com;;121212;4444444;1
32;usr32;name32;surname32;email32@hotmail.com;;121212;4444444;1
33;usr33;name33;surname33;email33@hotmail.com;;121212;4444444;1
34;usr34;name34;surname34;email34@hotmail.com;;121212;4444444;1
35;usr35;name35;surname35;email35@hotmail.com;;121212;4444444;0
36;usr36;name36;surname36;email36@hotmail.com;;121212;4444444;0
37;usr37;name37;surname37;email37@hotmail.com;;121212;4444444;0
38;usr38;name38;surname38;email38@hotmail.com;;121212;4444444;0
39;usr39;name39;surname39;email39@hotmail.com;;121212;4444444;0
40;usr40;name40;surname40;email40@hotmail.com;;121212;4444444;0
41;usr41;name41;surname41;email41@hotmail.com;;121212;4444444;0
42;usr42;name42;surname42;email42@hotmail.com;;121212;4444444;0
43;usr43;name43;surname43;email43@hotmail.com;;121212;4444444;1
44;usr44;name44;surname44;email44@hotmail.com;;121212;4444444;1
45;usr45;name45;surname45;email45@hotmail.com;;121212;4444444;1
46;usr46;name46;surname46;email46@hotmail.com;;121212;4444444;1
47;usr47;name47;surname47;email47@hotmail.com;;121212;4444444;1
48;usr48;name48;surname48;email48@hotmail.com;;121212;4444444;1
49;usr49;name49;surname49;email49@hotmail.com;;121212;4444444;1
50;usr50;name50;surname50;email50@hotmail.com;;121212;4444444;1
51;usr50;name51;surname51;email51@hotmail.com;;121212;4444444;1
52;usr52;name52;surname52;email52@hotmail.com;;121212;4444444;1
53;usr53;name53;surname53;email53@hotmail.com;;121212;4444444;1
54;usr54;name54;surname54;email54@hotmail.com;;121212;4444444;1
55;usr55;name55;surname55;email55@hotmail.com;;121212;4444444;1
56;usr56;name56;surname56;email56@hotmail.com;;121212;4444444;1
57;usr57;name57;surname57;email57@hotmail.com;;121212;4444444;1
58;usr58;name58;surname58;email58@hotmail.com;;121212;4444444;1
59;usr59;name59;surname59;email59@hotmail.com;;121212;4444444;1
60;usr50;name60;surname60;email60@hotmail.com;;121212;4444444;1
